,category,brewery,beer_name,abv,rb_name,rb_overall_rating,rb_weighted_avg,rb_ratings,rb_style,rb_style_rating
111,Atlantic,Pumphouse  Brewery,Crafty Radler,4.7%,Pump House Crafty Radler,,3.09,7,Radler/Shandy,
151,Atlantic,Two Crows Brewing,Pecadillo Oat Pilsner,4.8%,2 Crows  PEcadillo,,3.2,7,Pilsener,
152,Atlantic,Two Crows Brewing,Liesse Table Beer,3.5%,2 Crows LIESSE,,3.21,7,Low Alcohol,
165,Québec,Brasserie Dunham,Double Cyclope,8.6%,Dunham Double Cyclope,,3.57,7,Imperial IPA,
276,Western Canada,Howe Sound Brewing,Jam Session Raspberry Cream,5.0%,Howe Sound Jam Session Raspberry Cream Ale,,2.79,7,Fruit Beer,
11,Cider,Bulwark Cider,Raspberry,7.5%,Bulwark Blush Traditional Craft Cider,,2.98,6,Cider,
24,Cider,Finnbarra Cider,Tobairin,2.0%,Stonewell TobairÃ­n,,2.91,6,Cider,
34,Cider,Royal Unibrew,Tempt 9,4.5%,Tempt No 9,,2.68,6,Cider,
37,Cider,Tempted Cider,Dry Cider,5.7%,Tempted? Irish Craft Cider Dry,,3.11,6,Cider,
96,Atlantic,Nine Locks Brewing,Dirty Blonde,5.0%,Nine Locks Blonde,,3.08,6,American Pale Ale,
115,Atlantic,Pumphouse  Brewery,4 Alarm IPA,7.0%,Pump House 4 Alarm IPA,,3.17,6,India Pale Ale (IPA),
121,Atlantic,Railcar Brewing,Smoked Molasses Porter,5.5%,5 Seasons North PMS Smoked Molasses Porter,,3.46,6,Porter,
9,Cider,Brickworks Cider,Stadium Island Peach,4.5%,Brickworks Stadium Island Peach,,3.2,5,Cider,
28,Cider,Petite Riviere Vinyards,Stutz Cider,5.5%,Stutz Premium Craft Cider,,2.74,5,Cider,
31,Cider,Petite Riviere Vinyards,Ship Builders Cider,6.0%,Shipbuilders Cider,,2.68,5,Cider,
58,Atlantic,Firkenstein Brewing,Nor'Easter Amber,7.0%,FirkinStein Norâ??Easter,,3.15,5,American Strong Ale,
80,Atlantic,Grimross Brewing,Pugnacious Porter,4.5%,Grimross Pugnacious Porter,,3.3,5,Porter,
141,Atlantic,Spindrift Brewing,Abyss Black Lager,4.8%,Spindrift Dark Abyss Black Lager,,3.29,5,Schwarzbier,
180,Québec,Trou du Diable,St-Maurice Brassin Special,5.7%,Le Trou du Diable Saint-Maurice Brassin SpÃ©cial (FÃ»t de Brunello),,3.39,5,Sour/Wild Ale,
203,Ireland,Trouble Brewing,Weisse City Raspberry,3.8%,Trouble Brewing Weisse City,,3.45,5,Berliner Weisse,
255,Western Canada,Central City,Red Racer PROST Hefe,5.0%,Central City Red Racer Prost Hefeweizen,,2.92,5,German Hefeweizen,
266,Western Canada,Fort Garry Brewing,Maple Cream Ale,5.0%,Fort Garry Maple Cream,,2.87,5,Cream Ale,
291,Western Canada,Phillips Brewing,Wildcard Brett IPA,7.0%,Phillips Wild Card Brett IPA,,2.85,5,India Pale Ale (IPA),
330,USA,Mason Brewing,Hipster Apocolypse IPA,5.7%,Masonâ??s Hipster Apocalypse,,3.15,5,India Pale Ale (IPA),
331,USA,Mason Brewing,Farmhouse Saison,4.8%,Masonâ??s Farmhouse Saison,,3.2,5,Saison,
21,Cider,Elderkin Cider,Traditional Hard,6.5%,Elderkinâ??s Apple Cider,,2.94,4,Cider,
29,Cider,Petite Riviere Vinyards,Sid's Cider,6.5%,Kennebec Cider Traditional Hard Cider,,2.99,4,Cider,
144,Atlantic,Tatamagouche Brewing,Sunrise Trail India Session Ale,4.1%,Tatamagouche Sunrise Trail,,3.21,4,Session IPA,
158,Atlantic,Upstreet Brewing,Eighty Bob Scottish Red,5.0%,Upstreet Eighty Bob,,3.03,4,Scottish Ale,
191,Ireland,Mountain Man,Banjo’d Ale,5.0%,Mountain Man Banjoâ??d IPA,,2.79,4,India Pale Ale (IPA),
258,Western Canada,Coal Harbour Brewing,Market Saturation IPA,7.2%,Coal Harbour Market Saturation IPA,,3.12,4,India Pale Ale (IPA),
259,Western Canada,Coal Harbour Brewing,Sunrise Gose,3.8%,Coal Harbour Sunrise Gose,,3.21,4,Grodziskie/Gose/Lichtenhainer,
341,USA,Shipyard Brewery,Fireberry Wheat Ale,4.6%,Shipyard Fireberry Wheat Ale,,2.97,4,Spice/Herb/Vegetable,
42,Atlantic,Alexander Keith's,Lunenburg Coffee Stout,6.5%,Alexander Keithâ??s Lunenburg,,3.18,3,Stout,
44,Atlantic,Alexander Keith's,Fundy Low Tide WIPA,5.7%,Alexander Keiths Fundy Low Tide W.I.P.A.,,3.0,3,India Pale Ale (IPA),
87,Atlantic,Maybee Brewing,Roseway Red,6.0%,Maybee Roseway Red,,3.07,3,Amber Ale,
127,Atlantic,Saltbox Brewing,Dynamite Trail Hefeweizen,5.4%,Saltbox Dynamite Trail Ale,,3.28,3,German Hefeweizen,
14,Cider,Carlsberg,Somersby Rhubarb,4.5%,Somersby Strawberry & Rhubarb,,2.56,2,Cider,
39,Cider,Urban Farm Fermentory,Bluebery Cider,6.0%,Urban Farm Blueberry Cider,,3.16,2,Cider,
49,Atlantic,Boxing Rock Brewing,Dark as Keji Black IPA,6.5%,Boxing Rock Dark As Keji,,3.02,2,Black IPA,
85,Atlantic,Maybee Brewing,Tailwind Session Ale,4.8%,Maybee Tailwind Session,,3.02,2,Session IPA,
88,Atlantic,Meander River Brewing,Cold Porridge Oatmeal Stout,5.5%,Meander River Cold Porridge Oatmeal Stout,,3.02,2,Stout,
110,Atlantic,Port Rexton Brewing,T-Rex Porter,5.8%,Port Rexton T-Rex Porter,,3.04,2,Porter,
129,Atlantic,Schoolhouse Brewing,Principal Ale,4.5%,Schoolhouse Principal Ale,,3.05,2,Golden Ale/Blond Ale,
133,Atlantic,Schoolhouse Brewing,Skratch Plaskett,4.7%,Good Robot X Schoolhouse Skratch Plaskett Electric Tambourine Ale,,3.09,2,American Pale Ale,
139,Atlantic,Spindrift Brewing,Killick Session Lager,5.0%,Spindrift Killick Sesion Lager,,3.23,2,Dortmunder/Helles,
145,Atlantic,Tatamagouche Brewing,Philaroma Berliner Weisse,3.6%,Tatamagouche / Big Spruce Iâ??m In Love,,3.19,2,Berliner Weisse,
206,Ireland,Wicklow Wolf,Brayvarian Dunkel,5.4%,Wicklow Wolf Brayvarian Dunkel,,3.11,2,Dunkel/TmavÃ½,
261,Western Canada,Farmery Estate Brewery,Pink Lemonale,4.0%,The Farmery Estate Pink Lemonale,,2.97,2,Fruit Beer,
264,Western Canada,Farmery Estate Brewery,Prairie Berry Ale,4.0%,The Farmery Prairie Berry Ale,,3.12,2,Fruit Beer,
340,USA,Shipyard Brewery,Maui Mango Tea Beer,4.3%,Shipyard Maui Mango Wheat Ale,,3.11,2,Spice/Herb/Vegetable,
15,Cider,Chainyard Cider,Foundation Cider,6.3%,Forbidden Kiwifruit Cider,,2.98,1,Cider,
40,Cider,Urban Farm Fermentory,Sidrah Sour Cider,5.5%,Urban Farm Sidrah,,3.0,1,Cider,
56,Atlantic,Downeast Brewing,Game Changer IPA,6.5%,Crossroads Game Changer IPA,,2.98,1,India Pale Ale (IPA),
93,Atlantic,Moosehead Brewery,Moose Light Radler Raspberry,4.0%,Moose Light Raspberry Radler,,2.7,1,Radler/Shandy,
100,Atlantic,Nine Locks Brewing,Cream Ale,4.8%,Nine Locks Cream Ale,,2.92,1,Cream Ale,
101,Atlantic,Nine Locks Brewing,Fathom Double IPA,8.0%,Nine Locks Fathom Double IPA,,3.02,1,Imperial IPA,
128,Atlantic,Saltbox Brewing,Jeezus Murphy Irish red,5.9%,Saltbox Jeezus Murphy Irish Red,,2.96,1,Irish Ale,
130,Atlantic,Schoolhouse Brewing,Chequers Ale,4.5%,Schoolhouse Chequers Ale,,2.83,1,Porter,
131,Atlantic,Schoolhouse Brewing,Scotian Export,5.0%,Schoolhouse Scotian Export,,3.06,1,Scottish Ale,
135,Atlantic,Sober Island Brewing,Oyster Stout,6.1%,Sober Island Oyster Stout,,3.02,1,Stout,
138,Atlantic,Sober Island Brewing,Bitter,5.1%,Sober Island British IPA,,3.02,1,India Pale Ale (IPA),
140,Atlantic,Spindrift Brewing,Blood Orange IPL,5.5%,Spindrift Blood Orange India Pale Lager,,3.02,1,Fruit Beer,
149,Atlantic,Triders Brewing,Scotian Pale Ale,5.0%,Triderâ??s Yellow Beerâ??d,,2.94,1,Golden Ale/Blond Ale,
32,Cider,Red Rover Cider,Summer Cider,7.0%,Red Rover Summer Cider,,,0,Cider,
33,Cider,Red Rover Cider,Blood Moon Cider,7.0%,Red Rover Blood Moon,,,0,Cider,
61,Atlantic,Foghorn Brewing,Constable Winchester IPA,6.5%,Foghorn Constable Winchester,,,0,India Pale Ale (IPA),
62,Atlantic,Foghorn Brewing,Golden Grover,5.0%,Foghorn Golden Grover,,,0,Golden Ale/Blond Ale,
63,Atlantic,Foghorn Brewing,Skeeter Imperial Amber,6.5%,Foghorn Skeeter,,,0,Brown Ale,
64,Atlantic,Foghorn Brewing,Roxie American Wheat,4.5%,Foghorn / Graystone Roxie,,,0,Wheat Ale,
76,Atlantic,Good Robot Brewing,SMASH Pale Ale,5.5%,Good Robot SMaSH Meowth,,,0,American Pale Ale,
84,Atlantic,Loyalist City Brewing,New England IPA,6.5%,Loyalist City Hop Series Summer,,,0,India Pale Ale (IPA),
316,International,Halewood International,Crabbies' Original Ginger,4.0%,Crabbieâ??s Original Alcoholic Ginger Beer,,,0,Spice/Herb/Vegetable,
6,Cider,Big Hand Brewing Co.,Scotts Irish Dry Cider,5.6%,,,,,,
7,Cider,Big Hand Brewing Co.,Scotts Irish Med Dry Cider,4.5%,,,,,,
17,Cider,Coastliner Craft Cider,Maritime Original,5.4%,,,,,,
18,Cider,Coastliner Craft Cider,Castaway,5.4%,,,,,,
26,Cider,Finnbarra Cider,Esterre Premium,4.3%,,,,,,
30,Cider,Petite Riviere Vinyards,Sid's Strawberry Rhubarb Cider,8.5%,,,,,,
43,Atlantic,Alexander Keith's,Cornerstone EPA,4.3%,,,,,,
45,Atlantic,Alexander Keith's,7579 IPL,6.0%,,,,,,
55,Atlantic,Breton Brewing,Island Time Lager,4.3%,,,,,,
59,Atlantic,Firkenstein Brewing,Cut of our Jib DIPA,8.6%,,,,,,
60,Atlantic,Firkenstein Brewing,Project Orange,7.0%,,,,,,
65,Atlantic,Gahan House Brewpub,Crosscurrent APA,5.5%,,,,,,
66,Atlantic,Gahan House Brewpub,English Golden Ale,4.5%,,,,,,
75,Atlantic,Good Robot Brewing,Shocking Pink Gose/Radler,4.8%,,,,,,
77,Atlantic,Good Robot Brewing,Mississippi Goddamn Barleywine,11.0%,,,,,,
83,Atlantic,Loyalist City Brewing,Pink Dwarf Berliner Weisse,4.5%,,,,,,
86,Atlantic,Maybee Brewing,Workhorse IPA,7.0%,,,,,,
89,Atlantic,Meander River Brewing,Summer Solstice SIPA,4.5%,,,,,,
109,Atlantic,Port Rexton Brewing,Chasing Sun New England IPA,6.5%,,,,,,
114,Atlantic,Pumphouse  Brewery,Fire Chief Red,5.5%,,,,,,
120,Atlantic,Railcar Brewing,Perth-Andover Pale,4.0%,,,,,,
124,Atlantic,Rare Bird Craft Beer,Rocket Lager,4.5%,,,,,,
125,Atlantic,Saltbox Brewing,Holy Mackeral Pale,5.7%,,,,,,
132,Atlantic,Schoolhouse Brewing,Staffroom Stout,5.5%,,,,,,
134,Atlantic,Schoolhouse Brewing,Vice Principal Session IPA,4.7%,,,,,,
136,Atlantic,Sober Island Brewing,Blonde Ale,5.0%,,,,,,
137,Atlantic,Sober Island Brewing,Kirby's Canoe,5.7%,,,,,,
143,Atlantic,Tatamagouche Brewing,Cellar Slammer,4.4%,,,,,,
146,Atlantic,Triders Brewing,Rod's Red Ale,5.0%,,,,,,
147,Atlantic,Triders Brewing,Brewdeau Cream Ale,5.0%,,,,,,
157,Atlantic,Upstreet Brewing,Go Devil American IPA,6.7%,,,,,,
160,Atlantic,Wayfarers Ale Society,One Eyed River Hog IPA,6.2%,,,,,,
161,Atlantic,Wayfarers Ale Society,Hellene,4.2%,,,,,,
162,Atlantic,Wayfarers Ale Society,Ruby Ale,4.8%,,,,,,
163,Atlantic,Yellowbelly Brewery,Yellowbelly Pale ,4.5%,,,,,,
164,Atlantic,Yellowbelly Brewery,Big Land Lager,4.8%,,,,,,
179,Québec,Trou du Diable,Ze Blene #5,6.0%,,,,,,
190,Ireland,Manor Brewing Company,Irish Mountain Beer Ale,5.1%,,,,,,
193,Ireland,Mountain Man,Sneaky Owl Ale,4.6%,,,,,,
213,Ontario,Beau's All Natural,Buenos Dias Gruit,4.5%,,,,,,
214,Ontario,Beau's All Natural,Farm Table Saison,4.7%,,,,,,
215,Ontario,Beau's All Natural,Eph Bomb DIPA,9.0%,,,,,,
219,Ontario,Cool Brewing,Cool Lager,5.0%,,,,,,
225,Ontario,Double Trouble Brewing,Hops & Robbers IPA,5.7%,,,,,,
226,Ontario,Double Trouble Brewing,Hops & Robbers Grapefruit IPA,4.8%,,,,,,
228,Ontario,Double Trouble Brewing,Hops & Robbers Unfiltered Pilsner,4.6%,,,,,,
241,Ontario,Muskoka Cottage Brewery,Mad Tom IPA,6.4%,,,,,,
242,Ontario,Muskoka Cottage Brewery,Cream Ale,5.0%,,,,,,
244,Ontario,Muskoka Cottage Brewery,Moonlight Kettle Cool as Cuke,4.7%,,,,,,
249,Ontario,Thornbury Brewing,Pickup #26 Pilsner,4.8%,,,,,,
256,Western Canada,Central City,Central City Sour #3 Framboise,9.5%,,,,,,
260,Western Canada,Coal Harbour Brewing,Woodland Sour Saison,5.3%,,,,,,
275,Western Canada,Half Pints Brewery,Half Pints Specialty,(Var.),,,,,,
292,Western Canada,R & B Brewing,Stolen Bike Lager,5.0%,,,,,,
293,Western Canada,R & B Brewing,Dude Chilling Pale Ale,5.2%,,,,,,
302,Western Canada,Whistler Brewing,Rescue Ale,4.6%,,,,,,
306,International,Brasseries Kronenbourg,Kronenbourg 1664,5.0%,,,,,,
307,International,Brasseries Kronenbourg,Kronenbourg 1664 Blanc,5.0%,,,,,,
329,USA,Mason Brewing,Hefeweizen,4.0%,,,,,,
333,USA,Rising Tide Brewery,Zephyr APA,7.2%,,,,,,
